gsm,group,platform,PC1,PC2,PC3
GSM1361185,Cultured,GPL6244,-22.50624853058911,103.11105108666344,2.3385184524843328
GSM1361186,Cultured,GPL6244,-27.6873244628944,114.96232223810209,-0.37956975084089667
GSM1361187,Cultured,GPL6244,-18.664696920130478,95.10153200720433,-4.157041595382003
GSM1361188,Cornea,GPL6244,88.44282989677134,-119.94729959800588,-16.365141126445423
GSM1361189,Cornea,GPL6244,87.621701074596,-81.63909181640784,-19.138778886324157
GSM1361190,Cornea,GPL6244,56.61837350465285,-58.776007131763514,-18.681094556979446
GSM724093,Conjunctiva,GPL570,-61.90642023092181,-15.104294081632407,-37.94702585171594
GSM724095,Conjunctiva,GPL570,-64.08480095100971,-1.4807814353038924,-57.25359648262791
GSM724096,Cornea,GPL570,121.27953074745946,38.65733523308646,-2.2093803104678673
GSM724097,Cornea,GPL570,131.20320589255212,34.58052426321856,83.4833594151222
GSM724098,Cornea,GPL570,123.32363779255714,38.51608903551048,-4.140807747468791
GSM932369,Conjunctiva,GPL570,-77.68213372743205,-7.949257781930929,-44.59991193289069
GSM932370,Limbus,GPL570,-67.84839449991622,-32.744139474550906,-6.115829892601492
GSM932371,Limbus,GPL570,-117.18514661609936,-58.13329810471586,155.3339571755641
GSM932372,Limbus,GPL570,-75.69354892422866,-29.292485142609905,-15.965949588222985
GSM932373,Limbus,GPL570,-75.23056404536555,-19.862199296862954,-14.201707321203408
